nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
GERVÁSIO AGRIPINO MAIA,M,14/04/1975,81,6,5,36,14,5,266572.24,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.00,10194.19,11028.08,321.04,1105894.42,111615.50,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92
GILSON MARQUES VIEIRA,M,12/04/1981,88,0,4,40,5,5,50883.26,3483.84,5736.09,5095.21,6494.69,11767.82,7335.78,6816.37,1383.89,3.11,2766.46,0.00,798657.16,78079.20,78079.20,78079.20,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44
GIOVANI CHERINI,M,23/06/1960,86,3,3,40,13,3,411793.60,35135.42,42357.46,49953.41,49975.70,53766.31,54876.19,39994.44,42715.35,21531.51,20310.87,1176.94,1114323.38,111574.70,111574.70,111574.70,111574.70,111574.70,110520.47,111205.28,111574.71,111574.71,111574.71
FERNANDO LÚCIO GIACOBO,M,17/12/1970,86,5,1,13,7,1,365841.43,27455.42,49074.18,58575.31,7832.83,52242.70,38497.82,8820.58,6333.82,4309.92,62608.85,50090.00,1096371.61,110392.00,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31
GILLIANO FRED NASCIMENTO CUTRIM,M,26/10/1979,76,11,5,22,27,4,399839.52,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12000.22,69533.34,0.00,1115308.02,111301.75,111301.75,111619.50,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56
GILBERTO APARECIDO ABRAMO,M,06/08/1966,85,5,2,19,6,1,216901.65,18146.52,22003.33,27404.71,34209.75,32718.06,23558.03,15039.80,18280.76,12603.88,12846.34,90.47,1077796.52,106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08
GILBERTO NASCIMENTO SILVA,M,09/07/1956,65,0,27,29,9,3,400488.83,42667.83,49626.23,52149.16,48827.83,41954.56,33307.84,45287.25,30344.91,25638.80,24688.09,5996.33,1077002.90,110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74
GIOVANI BATISTA FELTES,M,10/04/1957,91,1,0,18,4,0,292295.12,32091.85,37369.29,35989.03,63623.79,29111.39,20875.74,31955.95,26391.45,5880.69,7923.74,1082.20,1095245.29,111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48
EMANUEL PINHEIRO DA SILVA PRIMO,M,05/01/1995,70,19,3,11,7,1,256826.54,18918.90,40897.04,43529.50,29158.03,34158.66,52895.35,15688.43,14630.60,825.90,5915.00,209.13,1067534.67,108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35
ENIO JOSÉ VERRI,M,27/03/1961,89,1,2,32,4,0,341401.56,38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,11302.87,0.00,1111367.61,111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72
